Symbol,Price Level,Note,Foreground Color,Background Color,Text Alignment
ESH6.CME@TM.Lite,7036.25,ATH/ETH,#000000,#ffae03,center
ESH6.CME@TM.Lite,7025.25,ATH,#000000,#ffae03,center
ESH6.CME@TM.Lite,7024.25,Day/H,#000000,#00ffbf,center
ESH6.CME@TM.Lite,7017.25,Day/H,#000000,#00ffbf,center
ESH6.CME@TM.Lite,7002.25,Day/H,#000000,#00ffbf,center
ESH6.CME@TM.Lite,6935.00,ETH/H,#000000,#ffffff,center
ESH6.CME@TM.Lite,6916.50,ETH/H,#000000,#ffffff,center
ESH6.CME@TM.Lite,6904.75,Day/H,#000000,#00ffbf,center
ESH6.CME@TM.Lite,6864.25,680,#000000,#ffae03,center
ESH6.CME@TM.Lite,6822.25,Day/L,#000000,#de3163,center
ESH6.CME@TM.Lite,6820.00,ETH/L,#ffffff,#000000,center
ESH6.CME@TM.Lite,6811.75,Day/L,#000000,#de3163,center
ESH6.CME@TM.Lite,6771.50,ETH/L,#ffffff,#000000,center
ESH6.CME@TM.Lite,6674.50,Day/L,#000000,#de3163,center
ESH6.CME@TM.Lite,6646.75,Day/L,#000000,#de3163,center
ESH6.CME@TM.Lite,6625.00,ETH/L,#ffffff,#000000,center
ESH6.CME@TM.Lite,6977.75,Gap/H,#000000,#c039fe,center
ESH6.CME@TM.Lite,6935.00,Gap/L,#000000,#c039fe,center
ESH6.CME@TM.Lite,6860,ETH/H,#000000,#ffffff,center
ESH6.CME@TM.Lite,6814.50,ETH/L,#ffffff,#000000,center
