Symbol,Price Level,Note,Foreground Color,Background Color,Text Alignment
ESZ5.CME@TM.Lite,6795.75,Day/L,#000000,#de3163,center
ESZ5.CME@TM.Lite,6802.00,ETH/L,#000000,#de3163,center
ESZ5.CME@TM.Lite,6812.25,ETH/L,#000000,#de3163,center
ESZ5.CME@TM.Lite,6820.25,Day/L,#000000,#de3163,center
ESZ5.CME@TM.Lite,6830.75,Day/L,#000000,#de3163,center
ESZ5.CME@TM.Lite,6835.25,Day/L,#000000,#de3163,center
ESZ5.CME@TM.Lite,6836.25,Day/L,#000000,#de3163,center
ESZ5.CME@TM.Lite,6837.25,ETH/L,#000000,#de3163,center
ESZ5.CME@TM.Lite,6844.50,Day/L,#000000,#de3163,center
ESZ5.CME@TM.Lite,6868.25,ETH/H,#000000,#00ffbf,center
ESZ5.CME@TM.Lite,6872.75,Day/H,#000000,#00ffbf,center
ESZ5.CME@TM.Lite,6886.25,Day/H,#000000,#00ffbf,center
ESZ5.CME@TM.Lite,6893.75,ETH/H,#000000,#00ffbf,center
ESZ5.CME@TM.Lite,6900.50,ETH/H,#000000,#00ffbf,center
ESZ5.CME@TM.Lite,6905.00,Day/H,#000000,#00ffbf,center
ESZ5.CME@TM.Lite,6908.00,Day/H,#000000,#00ffbf,center
ESZ5.CME@TM.Lite,6909.50,Day/H,#000000,#00ffbf,center
ESZ5.CME@TM.Lite,6918.50,Day/H,#000000,#00ffbf,center
ESZ5.CME@TM.Lite,6891.25,ETH/H,#000000,#00ffbf,center
ESZ5.CME@TM.Lite,6817.50,ETH/L,#000000,#de3163,center
